2024-06-07 15:58:17,897	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: Ixana YR22 EVK.
2024-06-07 15:58:17,900	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-07 15:58:17,901	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-07 15:58:17,905	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: LE_WH-1000XM5.
2024-06-07 15:58:17,907	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:18,015	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-07 15:58:18,130	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:04:6D:CE:F3:BC: .
2024-06-07 15:58:18,131	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:94:2F:10:8E:00: .
2024-06-07 15:58:18,141	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 03:5F:3D:A9:83:6E: .
2024-06-07 15:58:18,144	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: .
2024-06-07 15:58:18,248	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: .
2024-06-07 15:58:18,249	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: Amdtp.
2024-06-07 15:58:18,256	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:01:82:2B:58:6B: .
2024-06-07 15:58:18,369	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 24:3F:9D:60:37:2F: .
2024-06-07 15:58:18,377	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0A:20:12:34:D3:A4: .
2024-06-07 15:58:18,381	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 29:C3:C2:0E:BC:EC: .
2024-06-07 15:58:18,384	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 78:94:EC:2B:C9:8D: .
2024-06-07 15:58:18,385	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 78:94:EC:2B:C9:8D: .
2024-06-07 15:58:18,488	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0C:0D:83:48:9B:3F: .
2024-06-07 15:58:18,615	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-07 15:58:18,617	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-07 15:58:18,734	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-07 15:58:18,736	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-07 15:58:18,739	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: .
2024-06-07 15:58:18,839	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: LE_WH-1000XM5.
2024-06-07 15:58:18,840	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:18,846	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: .
2024-06-07 15:58:18,848	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: Ixana YR22 EVK.
2024-06-07 15:58:18,960	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: .
2024-06-07 15:58:18,961	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: Amdtp.
2024-06-07 15:58:18,965	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:18,966	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:18,970	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-07 15:58:18,972	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-07 15:58:18,975	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-07 15:58:18,977	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-07 15:58:18,980	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: .
2024-06-07 15:58:18,981	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: Amdtp.
2024-06-07 15:58:19,076	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-07 15:58:19,077	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-07 15:58:19,085	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:04:6D:CE:F3:BC: .
2024-06-07 15:58:19,087	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:04:6D:CE:F3:BC: Ixana YR22 EVK.
2024-06-07 15:58:19,314	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 24:3F:9D:60:37:2F: .
2024-06-07 15:58:19,315	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 29:C3:C2:0E:BC:EC: .
2024-06-07 15:58:19,436	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:19,438	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:19,548	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 7F:8F:FD:B7:0B:C0: .
2024-06-07 15:58:19,549	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 7F:8F:FD:B7:0B:C0: .
2024-06-07 15:58:19,552	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-07 15:58:19,553	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-07 15:58:19,563	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-07 15:58:19,564	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-07 15:58:19,666	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-07 15:58:19,667	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-07 15:58:19,671	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: LE_WH-1000XM5.
2024-06-07 15:58:19,676	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: .
2024-06-07 15:58:19,678	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: Amdtp.
2024-06-07 15:58:19,790	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: .
2024-06-07 15:58:19,791	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: Ixana YR22 EVK.
2024-06-07 15:58:19,798	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:94:2F:10:8E:00: .
